trajectory,method,t0,T,ns,deltat,runtime,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49
85,CLEAR,0,1000,100,10,91.970000,0.018000,-0.001000,0.020000,0.019000,0.020000,0.020000,0.020000,0.020000,0.020000,0.006000,0.020000,0.000000,-0.001000,0.020000,0.000000,0.000000,0.020000,0.000000,0.000000,0.008000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002000,-0.001000,0.004000,0.000000,-0.001000,0.020000,0.000000,-0.001000,0.020000,0.004000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
86,CLEAR,0,1000,100,10,85.020000,0.004000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.009000,0.018000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.008000,0.000000,0.000000,0.000000,0.000000,0.002000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
87,CLEAR,0,1000,100,10,86.910000,0.006000,-0.000300,0.006000,0.006000,0.006000,0.006000,0.000000,0.006000,0.006000,-0.000300,0.000000,0.000000,0.000000,-0.000300,0.000000,0.006000,0.006000,0.000000,0.000000,0.006000,-0.000300,-0.000300,-0.000300,-0.000300,0.001800,0.000000,0.000000,-0.000300,0.000000,-0.000300,0.000000,0.000000,-0.000300,0.000000,0.006000,0.000000,0.000000,0.006000,0.000000,0.000000,0.000000,-0.000300,0.000000,0.000000,-0.000300,0.000000,0.000000,-0.000300,-0.000300,0.000000
88,CLEAR,0,1000,100,10,85.120000,0.020000,0.020000,0.011000,0.020000,0.014000,0.006000,0.020000,0.020000,0.004000,-0.001000,0.000000,0.000000,0.012000,0.000000,0.012000,0.000000,-0.001000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.004000,0.000000,0.010000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008000,0.000000,0.000000,0.000000,0.000000,0.002000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89,CLEAR,0,1000,100,10,83.670000,-0.001000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.003000,0.020000,0.002000,0.000000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.010000,0.000000,0.000000,0.004000,0.000000,0.004000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90,CLEAR,0,1000,100,10,87.770000,0.007500,0.010000,0.008000,0.010000,0.004000,0.010000,0.010000,0.000000,0.010000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006000,-0.000500,0.004000,0.000000,0.008000,0.000000,0.000000,0.004000,0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,0.000000,-0.000500,0.000000,0.010000,0.000000,0.000000,0.000000,-0.000500,0.000000,0.000000,-0.000500,0.000000,-0.000500,0.000000
91,CLEAR,0,1000,100,10,81.840000,0.007000,0.007000,0.000000,0.000000,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003150,0.000000,0.000000,0.000000,0.000000,0.001050,0.000000,0.000000,0.000000,0.000000,0.007000,0.007000,0.000000,0.007000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92,CLEAR,0,1000,100,10,81.870000,0.020000,0.020000,0.004000,-0.001000,0.020000,0.020000,0.016000,0.004000,0.004000,0.020000,0.012000,0.000000,0.000000,0.004000,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018000,0.000000,0.006000,0.004000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93,CLEAR,0,1000,100,10,80.250000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.002000,0.015000,0.009000,-0.001000,0.002000,0.018000,0.000000,0.000000,-0.001000,-0.001000,0.000000,-0.001000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012000,0.000000,0.000000,0.000000
94,CLEAR,0,1000,100,10,83.320000,0.020000,0.020000,0.000000,0.002000,0.020000,0.020000,0.005000,0.020000,0.016000,0.018000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.000000,0.020000,0.000000,-0.001000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
